Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Eigen Transpose Time,CSF2 Transpose Time, CSF3 Transpose Time, Eigen Matrix Multiplication Time, CSF2 Matrix Multiplication Time, CSF3 Matrix Multiplication Time
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,28358460,5100750,14549900,20,2348013,2353915,20,4343691,3200670,913338,2772895,2824218,15545084,5246664,1354451,6727880,36322131,36716485,843292728,3486526274,3310878418,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,28642651,5730068,14380479,20,2320292,2377238,20,3456720,3210258,971475,2699319,2834177,15545084,5246664,1354451,7134337,37702456,38821963,853662719,3456180082,3310842512,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,27213847,5090312,14160596,20,2344567,2398456,20,3728820,3187246,933125,2732279,2857890,15545084,5246664,1354451,7200328,35724572,38722600,846786306,3461566017,3310434151,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,27834336,5648918,14443325,20,2338066,2370645,20,3494951,3182748,1012059,2726559,2830992,15545084,5246664,1354451,7387512,35667968,38613179,851136578,3463849593,3310813309,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,27364714,5159279,14545613,20,2343556,2373942,20,3242307,3058279,914550,2688008,2832234,15545084,5246664,1354451,7192533,36766036,37381165,851757740,3458427973,3296460440,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,26992670,5179316,14370181,20,2368611,2434653,20,3369280,3193016,1088910,2687818,2820281,15545084,5246664,1354451,7177726,35531909,38438348,846700899,3437660489,3297270378,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,28251953,5332747,14219404,20,2341311,2357722,21,3554891,3149506,1043858,2840549,2882285,15545084,5246664,1354451,6846849,36368676,38598593,842770719,3437757278,3293365273,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,28133176,5116310,14269326,20,2355167,2359274,20,3499849,3140429,960264,2747047,2777723,15545084,5246664,1354451,7127384,37071357,38078267,839550703,3438874920,3296884288,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,27792074,5216536,14477538,41,2313100,2396803,20,3563828,3214656,971555,2718915,2866717,15545084,5246664,1354451,6651524,35543119,39005620,839175379,3433687979,3300268596,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,28498743,5464411,14349991,20,2336524,2401543,20,3203587,3287582,968400,2715671,2855697,15545084,5246664,1354451,7149499,34921255,36700435,848093297,3437918116,3294756486,
