Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Eigen InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Eigen Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Min Eigen Constructor Time,Min CSF2 Constructor Time,Min CSF3 Constructor Time,Min Eigen InnerIterator Time,Min CSF2 InnerIterator Time,Min CSF3 InnerIterator Time,Min Eigen Scalar Multiplication Time,Min CSF2 Scalar Multiplication Time,Min CSF3 Scalar Multiplication Time,Min Eigen Vector Multiplication Time,Min CSF2 Vector Multiplication Time,Min CSF3 Vector Multiplication Time,Min Eigen Memory Usage,Min CSF2 Memory Usage,Min CSF3 Memory Usage,Min Eigen Transpose Time,Min CSF2 Transpose Time,Min CSF3 Transpose Time,Min Eigen Matrix Multiplication Time,Min CSF2 Matrix Multiplication Time,Min CSF3 Matrix Multiplication Time,Q1 Eigen Constructor Time,Q1 CSF2 Constructor Time,Q1 CSF3 Constructor Time,Q1 Eigen InnerIterator Time,Q1 CSF2 InnerIterator Time,Q1 CSF3 InnerIterator Time,Q1 Eigen Scalar Multiplication Time,Q1 CSF2 Scalar Multiplication Time,Q1 CSF3 Scalar Multiplication Time,Q1 Eigen Vector Multiplication Time,Q1 CSF2 Vector Multiplication Time,Q1 CSF3 Vector Multiplication Time,Q1 Eigen Memory Usage,Q1 CSF2 Memory Usage,Q1 CSF3 Memory Usage,Q1 Eigen Transpose Time,Q1 CSF2 Transpose Time,Q1 CSF3 Transpose Time,Q1 Eigen Matrix Multiplication Time,Q1 CSF2 Matrix Multiplication Time,Q1 CSF3 Matrix Multiplication Time,Median Eigen Constructor Time,Median CSF2 Constructor Time,Median CSF3 Constructor Time,Median Eigen InnerIterator Time,Median CSF2 InnerIterator Time,Median CSF3 InnerIterator Time,Median Eigen Scalar Multiplication Time,Median CSF2 Scalar Multiplication Time,Median CSF3 Scalar Multiplication Time,Median Eigen Vector Multiplication Time,Median CSF2 Vector Multiplication Time,Median CSF3 Vector Multiplication Time,Median Eigen Memory Usage,Median CSF2 Memory Usage,Median CSF3 Memory Usage,Median Eigen Transpose Time,Median CSF2 Transpose Time,Median CSF3 Transpose Time,Median Eigen Matrix Multiplication Time,Median CSF2 Matrix Multiplication Time,Median CSF3 Matrix Multiplication Time,Q3 Eigen Constructor Time,Q3 CSF2 Constructor Time,Q3 CSF3 Constructor Time,Q3 Eigen InnerIterator Time,Q3 CSF2 InnerIterator Time,Q3 CSF3 InnerIterator Time,Q3 Eigen Scalar Multiplication,Q3 CSF2 Scalar Multiplication Time,Q3 CSF3 Scalar Multiplication Time,Q3 Eigen Vector Multiplication Time,Q3 CSF2 Vector Multiplication Time,Q3 CSF3 Vector Multiplication Time,Q3 Eigen Memory Usage,Q3 CSF2 Memory Usage,Q3 CSF3 Memory Usage,Q3 Eigen Transpose Time,Q3 CSF2 Transpose Time,Q3 CSF3 Transpose Time,Q3 Eigen Matrix Multiplication Time,Q3 CSF2 Matrix Multiplication Time,Q3 CSF3 Matrix Multiplication Time,Max Eigen Constructor Time,Max CSF2 Constructor Time,Max CSF3 Constructor Time,Max Eigen InnerIterator Time,Max CSF2 InnerIterator Time,Max CSF3 InnerIterator Time,Max Eigen Scalar Multiplication Time,Max CSF2 Scalar Multiplication Time,Max CSF3 Scalar Multiplication Time,Max Eigen Vector Multiplication Time,Max CSF2 Vector Multiplication Time,Max CSF3 Vector Multiplication Time,Max Eigen Memory Usage,Max CSF2 Memory Usage,Max CSF3 Memory Usage,Max Eigen Transpose Time,Max CSF2 Transpose Time,Max CSF3 Transpose Time,Max Eigen Matrix Multiplication Time,Max CSF2 Matrix Multiplication Time,Max CSF3 Matrix Multiplication Time
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,27908262,5303864,14376635,22,2340920,2382419,20,3545792,3182439,977753,2732906,2838221,15545084,5246664,1354451,7059557,36161947,38107665,846292706,3451244872,3302197385,26992670,5090312,14160596,20,2313100,2353915,20,3203587,3058279,913338,2687818,2777723,15545084,5246664,1354451,6651524,34921255,36700435,839175379,3433687979,3293365273,27364714,5116310,14269326,20,2336524,2359274,20,3369280,3149506,933125,2699319,2824218,15545084,5246664,1354451,6846849,35543119,37381165,842770719,3437757278,3296460440,27983756,5197926,14375330,20,2342433,2375590,20,3497400,3190131,969937,2722737,2833205,15545084,5246664,1354451,7141918,36023351,38518470,846743602,3447527501,3298769487,28358460,5464411,14477538,20,2348013,2398456,20,3563828,3210258,1012059,2747047,2857890,15545084,5246664,1354451,7192533,36766036,38722600,851136578,3461566017,3310813309,28642651,5730068,14549900,41,2368611,2434653,21,4343691,3287582,1088910,2840549,2882285,15545084,5246664,1354451,7387512,37702456,39005620,853662719,3486526274,3310878418,
2.000000, 494.000000, 494.000000, 1080.000000, 0.993620, 0.004426,3923559,1005746,2584950,20,445372,451486,21,585011,606091,183617,540953,550050,2930412,1004313,268748,906215,5730780,6250694,65710686,282441005,273435512,3548932,946479,2479457,20,430561,442653,20,533220,565529,134007,510007,498526,2930412,1004313,268748,675882,5306232,5810448,64720568,281826875,272086125,3768545,973850,2506706,20,439628,445218,20,541204,572892,163019,512452,502614,2930412,1004313,268748,744558,5474420,6092176,65332112,282149048,272644550,3934826,997648,2572127,20,443645,449656,20,574836,586974,174545,541915,507066,2930412,1004313,268748,894078,5802839,6315351,65555952,282517524,273680244,4024005,1060539,2633390,20,451970,460376,20,631831,605924,222629,565369,605583,2930412,1004313,268748,1016268,5937921,6422542,65904653,282710178,274018435,4343802,1077701,2731219,20,459224,462771,30,666354,715545,248146,578493,750580,2930412,1004313,268748,1401296,6129844,6462607,66980661,283050464,274316413,
3.000000, 662.000000, 662.000000, 1568.000000, 0.994923, 0.003578,8207819,1874429,4637373,22,803499,798534,36,1126167,1036513,391811,937709,981112,5261580,1792517,473255,2029490,10085797,11083571,155149120,676567561,651731125,7663694,1787264,4531909,20,775705,784492,20,1052965,1019223,298107,905915,933676,5261580,1792517,473255,1685057,9566831,10402086,153991662,671640779,649969603,7747077,1842115,4588572,20,786646,791394,20,1070758,1027208,357867,911815,949195,5261580,1792517,473255,1879464,9740731,11046089,154305257,674526151,650786264,8188758,1862412,4608684,20,789661,797676,20,1093529,1035678,377599,918829,957805,5261580,1792517,473255,2039097,10005737,11102678,155172391,674738556,651384183,8437655,1871239,4647641,20,806272,804398,40,1135296,1045581,398953,970063,1018111,5261580,1792517,473255,2096663,10393761,11361028,155599496,676463121,652317128,8931183,2080273,4932485,40,875879,816190,120,1320747,1056421,594212,1018452,1077400,5261580,1792517,473255,2582526,10874253,11389390,156498068,692391042,654817112,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,9446576,2120704,5347102,20,874267,933902,29,1265037,1144648,424836,1019831,1003022,5633444,1922139,509097,2772765,11511209,12544210,178109932,769079600,738263626,8746894,1994906,5117464,20,850673,861844,20,1183394,1113146,318716,988747,979610,5633444,1922139,509097,2369103,10852283,12048643,172987571,765826114,736476828,9393032,2050809,5158951,20,860571,872975,20,1200666,1122462,359040,992344,983608,5633444,1922139,509097,2450042,10936508,12394286,173924733,766829388,737347959,9459468,2084310,5271132,20,867709,873926,25,1233121,1130898,425897,996040,994106,5633444,1922139,509097,2798012,11427150,12518605,174488900,767576631,738136483,9602728,2178483,5457179,20,872984,886279,40,1261789,1166133,477317,1021297,1014014,5633444,1922139,509097,2834840,12007526,12714976,176131959,769589961,739021715,9934326,2375285,5839642,20,955225,1385827,40,1557833,1210274,560631,1182493,1046283,5633444,1922139,509097,3276531,12245784,13065430,210086407,780162090,740204709,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,144468,159948,332445,20,36095,34482,21,47752,48963,9919,43309,39790,203324,80702,27464,24541,499425,541139,1494380,6715472,5588507,134066,148884,308316,20,35475,33732,20,41466,46085,8526,42508,39353,203324,80702,27464,19797,478439,497585,1421302,5340945,5515967,139116,156718,328593,20,35876,34203,20,44041,46365,8655,42689,39433,203324,80702,27464,21059,487596,539842,1465332,5359069,5574695,142742,159137,332365,20,35976,34383,20,47763,46901,9326,42859,39693,203324,80702,27464,22230,495901,544992,1474590,5372724,5586125,147882,164552,334094,20,36387,34694,20,48108,49410,10770,43120,40154,203324,80702,27464,23683,505619,549460,1509564,5386319,5600642,162118,168139,360713,20,36868,35776,30,57536,61613,13054,47257,40524,203324,80702,27464,46786,531547,555601,1670620,18809307,5658478,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1268322,389622,897693,20,159384,160475,21,199354,207142,53517,185970,183193,1024340,353344,95960,160426,1791732,2007730,14744346,61462982,59008548,1198152,377574,884115,20,157058,159523,20,187955,202292,42228,183237,179860,1024340,353344,95960,143013,1720251,1827408,14369487,59881024,58808012,1202940,382934,892571,20,157921,159663,20,189949,203935,43931,184159,180612,1024340,353344,95960,146770,1746550,1905111,14463720,60170646,58839560,1219797,386951,894078,20,158676,160330,20,192579,206830,51063,184980,181563,1024340,353344,95960,151719,1809435,1966518,14786713,60308664,58959089,1315888,397520,903921,20,160826,160996,20,195319,209274,60241,187545,182686,1024340,353344,95960,164402,1825615,2013700,14961274,60353492,59011957,1518480,406858,913078,20,163190,162499,30,258214,214694,74958,191742,198605,1024340,353344,95960,202893,1835383,2546029,15025172,72499994,59733323,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,87811,60338,114030,22,14560,16982,23,20846,21832,3855,19925,19661,87044,32494,10309,10324,202120,223667,491914,1665336,1591212,72153,47187,92490,20,13745,13915,20,17512,18894,3407,16540,16781,87044,32494,10309,8777,172988,180712,407289,1484658,1457339,77863,48990,93542,20,13835,14236,20,18935,19275,3447,17122,16891,87044,32494,10309,9497,179460,206860,473480,1512519,1527887,86438,58623,103485,20,14241,14907,20,19761,19981,3747,18473,17757,87044,32494,10309,9893,195800,225173,487375,1720051,1575670,90396,67574,127624,21,15128,19366,30,22892,21500,4368,20137,19345,87044,32494,10309,11320,201831,231896,504868,1761658,1675088,123567,80849,184269,30,16170,24455,30,27470,34223,4489,31358,35204,87044,32494,10309,13315,270437,273483,631640,1887388,1770373,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,13424,16565,29112,20,3729,3520,20,5255,6276,1032,5116,5019,18412,7746,2949,2551,50333,54342,55390,166853,166580,10590,13575,25206,20,3236,3156,20,4578,4829,802,4117,3827,18412,7746,2949,1903,45063,48309,45583,157980,145328,11521,14146,26238,20,3266,3206,20,4869,4999,831,4217,3987,18412,7746,2949,2174,45754,52015,48058,161587,163671,13640,15598,28612,20,3356,3251,20,4979,5445,931,4864,4659,18412,7746,2949,2629,50122,54269,51765,168650,167308,14517,18624,30466,20,3716,3677,20,5129,7423,1252,6041,5731,18412,7746,2949,2795,54811,57065,62305,170012,171505,17682,20788,37699,20,5279,4779,20,8005,9487,1513,6672,8045,18412,7746,2949,3226,57486,58468,71301,174641,180281,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,21036,21006,38244,21,6099,5278,22,7444,7520,1435,6576,6154,29012,11686,4189,3174,68489,73338,95199,302799,327277,18745,18965,35155,20,5150,4919,20,6942,7203,1162,6171,5831,29012,11686,4189,2885,64810,69127,79426,294531,305933,20097,19356,36317,20,5190,4989,20,7123,7303,1232,6262,5891,29012,11686,4189,3005,64889,70780,83884,297547,313627,21018,20202,37604,20,5355,5124,20,7268,7329,1338,6441,6021,29012,11686,4189,3201,66933,72077,85867,300116,326369,21720,20648,38020,20,6202,5259,20,7794,7474,1623,6753,6191,29012,11686,4189,3286,67935,74587,93112,304119,332972,24626,29714,43210,30,10920,6141,30,8325,9046,2184,7744,7163,29012,11686,4189,3527,77863,80609,177326,317874,372114,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,155562,77792,164389,21,27379,26439,22,37117,72831,7134,34469,31260,167564,60676,18196,18519,315565,337049,2222387,3861030,3992733,146460,74537,162980,20,26919,25818,20,33181,35525,6682,32701,30306,167564,60676,18196,16060,305371,311633,1000148,3798170,3913252,150898,76100,164051,20,27030,26419,20,33321,35957,6893,33161,30997,167564,60676,18196,16300,309679,335868,1006189,3834115,3973693,153827,76896,164477,20,27160,26469,20,34940,36326,7062,33476,31127,167564,60676,18196,16936,314172,338978,1052839,3866345,3988830,161617,80588,164873,20,27931,26579,20,37890,37038,7194,33952,31328,167564,60676,18196,18945,322022,342870,1180429,3898505,4011663,168670,81760,165945,30,28101,26820,40,48820,400876,8145,43810,32600,167564,60676,18196,26930,329145,345424,12523004,3902753,4068968,
