Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo COnstructor Time,Avg Eigen InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Min Eigen Constructor Time,Min CSF2 Constructor Time,Min CSF3 Constructor Time,Min Armadillo Constructor Time,Min Eigen InnerIterator Time,Min CSF2 InnerIterator Time,Min CSF3 InnerIterator Time,Min Armadillo InnerIterator Time,Min Eigen Scalar Multiplication Time,Min CSF2 Scalar Multiplication Time,Min CSF3 Scalar Multiplication Time,Min Armadillo Scalar Multiplication Time,Min Eigen Vector Multiplication Time,Min CSF2 Vector Multiplication Time,Min CSF3 Vector Multiplication Time,Min Armadillo Vector Multiplication Time,Min Eigen Memory Usage,Min CSF2 Memory Usage,Min CSF3 Memory Usage,Min Armadillo Memory Usage,Min Eigen Transpose Time,Min CSF2 Transpose Time,Min CSF3 Transpose Time,Min Armadillo Transpose Time,Min Eigen Matrix Multiplication Time,Min CSF2 Matrix Multiplication Time,Min CSF3 Matrix Multiplication Time,Min Armadillo Matrix Multiplication Time,Q1 Eigen Constructor Time,Q1 CSF2 Constructor Time,Q1 CSF3 Constructor Time,Q1 Armadillo Constructor Time,Q1 Eigen InnerIterator Time,Q1 CSF2 InnerIterator Time,Q1 CSF3 InnerIterator Time,Q1 Armadillo InnerIterator Time,Q1 Eigen Scalar Multiplication Time,Q1 CSF2 Scalar Multiplication Time,Q1 CSF3 Scalar Multiplication Time,Q1 Armadillo Scalar Multiplication Time,Q1 Eigen Vector Multiplication Time,Q1 CSF2 Vector Multiplication Time,Q1 CSF3 Vector Multiplication Time,Q1 Armadillo Vector Multiplication Time,Q1 Eigen Memory Usage,Q1 CSF2 Memory Usage,Q1 CSF3 Memory Usage,Q1 Armadillo Memory Usage,Q1 Eigen Transpose Time,Q1 CSF2 Transpose Time,Q1 CSF3 Transpose Time,Q1 Armadillo Transpose Time,Q1 Eigen Matrix Multiplication Time,Q1 CSF2 Matrix Multiplication Time,Q1 CSF3 Matrix Multiplication Time,Q1 Armadillo Matrix Multiplication Time,Median Eigen Constructor Time,Median CSF2 Constructor Time,Median CSF3 Constructor Time,Median Armadillo Constructor Time,Median Eigen InnerIterator Time,Median CSF2 InnerIterator Time,Median CSF3 InnerIterator Time,Median Armadillo InnerIterator Time,Median Eigen Scalar Multiplication Time,Median CSF2 Scalar Multiplication Time,Median CSF3 Scalar Multiplication Time,Median Armadillo Scalar Multiplication Time,Median Eigen Vector Multiplication Time,Median CSF2 Vector Multiplication Time,Median CSF3 Vector Multiplication Time,Median Armadillo Vector Multiplication Time,Median Eigen Memory Usage,Median CSF2 Memory Usage,Median CSF3 Memory Usage,Median Armadillo Memory Usage,Median Eigen Transpose Time,Median CSF2 Transpose Time,Median CSF3 Transpose Time,Median Armadillo Transpose Time,Median Eigen Matrix Multiplication Time,Median CSF2 Matrix Multiplication Time,Median CSF3 Matrix Multiplication Time,Median Armadillo Matrix Multiplication Time,Q3 Eigen Constructor Time,Q3 CSF2 Constructor Time,Q3 CSF3 Constructor Time,Q3 Armadillo Constructor Time,Q3 Eigen InnerIterator Time,Q3 CSF2 InnerIterator Time,Q3 CSF3 InnerIterator Time,Q3 Armadillo InnerIterator Time,Q3 Eigen Scalar Multiplication,Q3 CSF2 Scalar Multiplication Time,Q3 CSF3 Scalar Multiplication Time,Q3 Armadillo Scalar Multiplication Time,Q3 Eigen Vector Multiplication Time,Q3 CSF2 Vector Multiplication Time,Q3 CSF3 Vector Multiplication Time,Q3 Armadillo Vector Multiplication Time,Q3 Eigen Memory Usage,Q3 CSF2 Memory Usage,Q3 CSF3 Memory Usage,Q3 Armadillo Memory Usage,Q3 Eigen Transpose Time,Q3 CSF2 Transpose Time,Q3 CSF3 Transpose Time,Q3 Armadillo Transpose Time,Q3 Eigen Matrix Multiplication Time,Q3 CSF2 Matrix Multiplication Time,Q3 CSF3 Matrix Multiplication Time,Q3 Armadillo Matrix Multiplication Time,Max Eigen Constructor Time,Max CSF2 Constructor Time,Max CSF3 Constructor Time,Max Armadillo Constructor Time,Max Eigen InnerIterator Time,Max CSF2 InnerIterator Time,Max CSF3 InnerIterator Time,Max Armadillo InnerIterator Time,Max Eigen Scalar Multiplication Time,Max CSF2 Scalar Multiplication Time,Max CSF3 Scalar Multiplication Time,Max Armadillo Scalar Multiplication Time,Max Eigen Vector Multiplication Time,Max CSF2 Vector Multiplication Time,Max CSF3 Vector Multiplication Time,Max Armadillo Vector Multiplication Time,Max Eigen Memory Usage,Max CSF2 Memory Usage,Max CSF3 Memory Usage,Max Armadillo Memory Usage,Max Eigen Transpose Time,Max CSF2 Transpose Time,Max CSF3 Transpose Time,Max Armadillo Transpose Time,Max Eigen Matrix Multiplication Time,Max CSF2 Matrix Multiplication Time,Max CSF3 Matrix Multiplication Time,Max Armadillo Matrix Multiplication Time
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,23434,170539,216887,80611,20,12734,12724,17954,20,46657,48421,20,6532,15129,15860,10389,35708,62078,50623,35708,31038,216306,249468,23644,105147,15179431,15094733,128461,23434,170539,216887,80611,20,12734,12724,17954,20,46657,48421,20,6532,15129,15860,10389,35708,62078,50623,35708,31038,216306,249468,23644,105147,15179431,15094733,128461,23434,170539,216887,80611,20,12734,12724,17954,20,46657,48421,20,6532,15129,15860,10389,35708,62078,50623,35708,31038,216306,249468,23644,105147,15179431,15094733,128461,23434,170539,216887,80611,20,12734,12724,17954,20,46657,48421,20,6532,15129,15860,10389,35708,62078,50623,35708,31038,216306,249468,23644,105147,15179431,15094733,128461,23434,170539,216887,80611,20,12734,12724,17954,20,46657,48421,20,6532,15129,15860,10389,35708,62078,50623,35708,31038,216306,249468,23644,105147,15179431,15094733,128461,23434,170539,216887,80611,20,12734,12724,17954,20,46657,48421,20,6532,15129,15860,10389,35708,62078,50623,35708,31038,216306,249468,23644,105147,15179431,15094733,128461,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,8857,72326,92303,34786,20,5320,5902,7835,20,19526,21270,20,2706,6522,7454,4338,14940,26067,20852,14940,13154,89358,109195,10289,43492,2318088,2530847,49313,8857,72326,92303,34786,20,5320,5902,7835,20,19526,21270,20,2706,6522,7454,4338,14940,26067,20852,14940,13154,89358,109195,10289,43492,2318088,2530847,49313,8857,72326,92303,34786,20,5320,5902,7835,20,19526,21270,20,2706,6522,7454,4338,14940,26067,20852,14940,13154,89358,109195,10289,43492,2318088,2530847,49313,8857,72326,92303,34786,20,5320,5902,7835,20,19526,21270,20,2706,6522,7454,4338,14940,26067,20852,14940,13154,89358,109195,10289,43492,2318088,2530847,49313,8857,72326,92303,34786,20,5320,5902,7835,20,19526,21270,20,2706,6522,7454,4338,14940,26067,20852,14940,13154,89358,109195,10289,43492,2318088,2530847,49313,8857,72326,92303,34786,20,5320,5902,7835,20,19526,21270,20,2706,6522,7454,4338,14940,26067,20852,14940,13154,89358,109195,10289,43492,2318088,2530847,49313,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,13796,105207,137648,51587,20,7594,7955,10389,10,27852,29365,20,3727,9137,10069,6011,21468,37207,29959,21468,17703,128390,156825,13976,62988,4936649,5196277,75952,13796,105207,137648,51587,20,7594,7955,10389,10,27852,29365,20,3727,9137,10069,6011,21468,37207,29959,21468,17703,128390,156825,13976,62988,4936649,5196277,75952,13796,105207,137648,51587,20,7594,7955,10389,10,27852,29365,20,3727,9137,10069,6011,21468,37207,29959,21468,17703,128390,156825,13976,62988,4936649,5196277,75952,13796,105207,137648,51587,20,7594,7955,10389,10,27852,29365,20,3727,9137,10069,6011,21468,37207,29959,21468,17703,128390,156825,13976,62988,4936649,5196277,75952,13796,105207,137648,51587,20,7594,7955,10389,10,27852,29365,20,3727,9137,10069,6011,21468,37207,29959,21468,17703,128390,156825,13976,62988,4936649,5196277,75952,13796,105207,137648,51587,20,7594,7955,10389,10,27852,29365,20,3727,9137,10069,6011,21468,37207,29959,21468,17703,128390,156825,13976,62988,4936649,5196277,75952,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,17022,132599,174418,66094,20,9828,9919,13205,20,31950,32891,20,4388,11371,12503,7544,26348,44202,34989,26348,20198,155181,195877,15859,83758,6146158,6506704,120376,17022,132599,174418,66094,20,9828,9919,13205,20,31950,32891,20,4388,11371,12503,7544,26348,44202,34989,26348,20198,155181,195877,15859,83758,6146158,6506704,120376,17022,132599,174418,66094,20,9828,9919,13205,20,31950,32891,20,4388,11371,12503,7544,26348,44202,34989,26348,20198,155181,195877,15859,83758,6146158,6506704,120376,17022,132599,174418,66094,20,9828,9919,13205,20,31950,32891,20,4388,11371,12503,7544,26348,44202,34989,26348,20198,155181,195877,15859,83758,6146158,6506704,120376,17022,132599,174418,66094,20,9828,9919,13205,20,31950,32891,20,4388,11371,12503,7544,26348,44202,34989,26348,20198,155181,195877,15859,83758,6146158,6506704,120376,17022,132599,174418,66094,20,9828,9919,13205,20,31950,32891,20,4388,11371,12503,7544,26348,44202,34989,26348,20198,155181,195877,15859,83758,6146158,6506704,120376,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,6191,96931,147296,41988,20,4819,4648,3958,20,9217,9297,10,1073,8076,6402,6332,15908,21415,14296,12968,4108,82945,100659,5340,217898,584456,578305,212148,6191,96931,147296,41988,20,4819,4648,3958,20,9217,9297,10,1073,8076,6402,6332,15908,21415,14296,12968,4108,82945,100659,5340,217898,584456,578305,212148,6191,96931,147296,41988,20,4819,4648,3958,20,9217,9297,10,1073,8076,6402,6332,15908,21415,14296,12968,4108,82945,100659,5340,217898,584456,578305,212148,6191,96931,147296,41988,20,4819,4648,3958,20,9217,9297,10,1073,8076,6402,6332,15908,21415,14296,12968,4108,82945,100659,5340,217898,584456,578305,212148,6191,96931,147296,41988,20,4819,4648,3958,20,9217,9297,10,1073,8076,6402,6332,15908,21415,14296,12968,4108,82945,100659,5340,217898,584456,578305,212148,6191,96931,147296,41988,20,4819,4648,3958,20,9217,9297,10,1073,8076,6402,6332,15908,21415,14296,12968,4108,82945,100659,5340,217898,584456,578305,212148,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,8376,37581,40105,39694,10,4138,4108,6523,20,12854,12414,20,1904,5310,5901,3907,16172,13492,9026,16172,9508,64842,71895,8015,47589,1347628,1409554,72165,8376,37581,40105,39694,10,4138,4108,6523,20,12854,12414,20,1904,5310,5901,3907,16172,13492,9026,16172,9508,64842,71895,8015,47589,1347628,1409554,72165,8376,37581,40105,39694,10,4138,4108,6523,20,12854,12414,20,1904,5310,5901,3907,16172,13492,9026,16172,9508,64842,71895,8015,47589,1347628,1409554,72165,8376,37581,40105,39694,10,4138,4108,6523,20,12854,12414,20,1904,5310,5901,3907,16172,13492,9026,16172,9508,64842,71895,8015,47589,1347628,1409554,72165,8376,37581,40105,39694,10,4138,4108,6523,20,12854,12414,20,1904,5310,5901,3907,16172,13492,9026,16172,9508,64842,71895,8015,47589,1347628,1409554,72165,8376,37581,40105,39694,10,4138,4108,6523,20,12854,12414,20,1904,5310,5901,3907,16172,13492,9026,16172,9508,64842,71895,8015,47589,1347628,1409554,72165,
11.000000, 85.000000, 85.000000, 304.000000, 0.676471, 0.042076,2024,7064,9568,11712,20,1022,1042,1754,20,2575,2385,20,591,1613,1482,6342,3992,3705,2538,3992,2524,16802,17923,4598,13756,89148,73788,16390,2024,7064,9568,11712,20,1022,1042,1754,20,2575,2385,20,591,1613,1482,6342,3992,3705,2538,3992,2524,16802,17923,4598,13756,89148,73788,16390,2024,7064,9568,11712,20,1022,1042,1754,20,2575,2385,20,591,1613,1482,6342,3992,3705,2538,3992,2524,16802,17923,4598,13756,89148,73788,16390,2024,7064,9568,11712,20,1022,1042,1754,20,2575,2385,20,591,1613,1482,6342,3992,3705,2538,3992,2524,16802,17923,4598,13756,89148,73788,16390,2024,7064,9568,11712,20,1022,1042,1754,20,2575,2385,20,591,1613,1482,6342,3992,3705,2538,3992,2524,16802,17923,4598,13756,89148,73788,16390,2024,7064,9568,11712,20,1022,1042,1754,20,2575,2385,20,591,1613,1482,6342,3992,3705,2538,3992,2524,16802,17923,4598,13756,89148,73788,16390,
13.000000, 39.000000, 39.000000, 85.000000, 0.405128, 0.055884,762,2645,3887,4438,20,410,421,801,20,1142,1092,20,320,872,681,1853,1180,1495,1123,1180,661,6282,6082,632,7053,17683,11922,5500,762,2645,3887,4438,20,410,421,801,20,1142,1092,20,320,872,681,1853,1180,1495,1123,1180,661,6282,6082,632,7053,17683,11922,5500,762,2645,3887,4438,20,410,421,801,20,1142,1092,20,320,872,681,1853,1180,1495,1123,1180,661,6282,6082,632,7053,17683,11922,5500,762,2645,3887,4438,20,410,421,801,20,1142,1092,20,320,872,681,1853,1180,1495,1123,1180,661,6282,6082,632,7053,17683,11922,5500,762,2645,3887,4438,20,410,421,801,20,1142,1092,20,320,872,681,1853,1180,1495,1123,1180,661,6282,6082,632,7053,17683,11922,5500,762,2645,3887,4438,20,410,421,801,20,1142,1092,20,320,872,681,1853,1180,1495,1123,1180,661,6282,6082,632,7053,17683,11922,5500,
14.000000, 49.000000, 49.000000, 108.000000, 0.403061, 0.044981,1363,4678,6633,6913,20,751,751,1202,30,1974,1863,20,572,1262,1192,2254,1496,1877,1406,1496,1202,10811,10821,1163,10670,31409,25016,8495,1363,4678,6633,6913,20,751,751,1202,30,1974,1863,20,572,1262,1192,2254,1496,1877,1406,1496,1202,10811,10821,1163,10670,31409,25016,8495,1363,4678,6633,6913,20,751,751,1202,30,1974,1863,20,572,1262,1192,2254,1496,1877,1406,1496,1202,10811,10821,1163,10670,31409,25016,8495,1363,4678,6633,6913,20,751,751,1202,30,1974,1863,20,572,1262,1192,2254,1496,1877,1406,1496,1202,10811,10821,1163,10670,31409,25016,8495,1363,4678,6633,6913,20,751,751,1202,30,1974,1863,20,572,1262,1192,2254,1496,1877,1406,1496,1202,10811,10821,1163,10670,31409,25016,8495,1363,4678,6633,6913,20,751,751,1202,30,1974,1863,20,572,1262,1192,2254,1496,1877,1406,1496,1202,10811,10821,1163,10670,31409,25016,8495,
15.000000, 118.000000, 118.000000, 297.000000, 0.528672, 0.021330,2185,9668,12233,11392,20,1162,1162,2064,20,2875,2785,20,632,1683,1613,7224,4040,4634,3389,4040,3296,20779,21570,2976,12984,128781,108984,14307,2185,9668,12233,11392,20,1162,1162,2064,20,2875,2785,20,632,1683,1613,7224,4040,4634,3389,4040,3296,20779,21570,2976,12984,128781,108984,14307,2185,9668,12233,11392,20,1162,1162,2064,20,2875,2785,20,632,1683,1613,7224,4040,4634,3389,4040,3296,20779,21570,2976,12984,128781,108984,14307,2185,9668,12233,11392,20,1162,1162,2064,20,2875,2785,20,632,1683,1613,7224,4040,4634,3389,4040,3296,20779,21570,2976,12984,128781,108984,14307,2185,9668,12233,11392,20,1162,1162,2064,20,2875,2785,20,632,1683,1613,7224,4040,4634,3389,4040,3296,20779,21570,2976,12984,128781,108984,14307,2185,9668,12233,11392,20,1162,1162,2064,20,2875,2785,20,632,1683,1613,7224,4040,4634,3389,4040,3296,20779,21570,2976,12984,128781,108984,14307,
