Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,34162,156868,230293,95936,20,19977,15699,20117,6672,6292,16049,1182,7183,14627,19075,12283,35708,82264,50623,35708,14998,342870,312034,16060,161256,19097478,20434216,153362,8326,9798,16921,15789,30,20,16480,160,6653,6402,16470,1292,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,48479,169402,229211,97068,20,14246,16400,20348,6592,6221,16410,1192,7193,14526,17262,14557,35708,82264,50623,35708,18334,254037,309569,41897,142311,19216947,20831126,147060,27731,13305,17943,16801,20,20,15950,20,6451,6402,16470,2375,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,33201,157270,249689,134558,20,18383,16159,20308,6372,6252,16570,1212,7984,20678,18785,11731,35708,82264,50623,35708,14687,321261,298639,18444,156508,19571921,20472155,151188,35295,73545,26359,15879,30,30,15829,281,6672,13745,17603,2053,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,46766,166496,226717,88052,20,15117,15569,20418,6602,6241,19877,1223,8155,14727,19496,13044,35708,82264,50623,35708,18814,286266,287679,16620,150597,19135057,20589241,150687,7183,32911,16841,16150,30,20,16571,30,5891,6342,16810,1653,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,25547,173750,249028,94724,20,18224,16310,20908,6692,6682,16510,1202,8486,15288,17612,12724,35708,82264,50623,35708,86599,259537,315510,21369,129488,19664782,20716305,151589,7213,35485,81059,16009,40,20,16320,30,7124,6492,16771,2224,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,31197,160194,223941,89144,20,18674,15999,20337,6672,6342,16450,1212,9087,15479,18033,9347,35708,82264,50623,35708,15228,274464,327903,16801,145457,19346917,19880588,149906,25907,6942,73445,16631,30,20,16951,31,7003,6652,16450,2534,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,29955,149916,248657,111235,20,13966,15979,23583,6783,6171,18344,1202,7103,15158,18634,12002,35708,82264,50623,35708,15228,273703,290203,27511,140868,19819906,21239025,149074,5611,8306,71862,15789,20,20,16140,30,6492,6482,16350,1193,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,34093,153672,284563,108680,21,14197,16501,20317,5981,6101,16330,1222,7735,14887,18023,12162,35708,82264,50623,35708,24626,265367,314438,16430,179100,19454474,20673756,151959,34273,18244,74637,16600,30,20,16500,20,6983,7504,17342,1823,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,41105,215807,260118,89394,20,13515,16080,20297,6552,6091,16541,1212,16099,19756,18273,12543,35708,82264,50623,35708,17452,260359,313346,16590,176705,19774192,20602765,144736,16090,15178,17191,16070,40,20,19646,20,6582,6442,16671,1082,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,105023,157599,245611,97710,30,17472,18344,23122,6773,7023,16611,1222,8125,15168,19636,11421,35708,82264,50623,35708,36627,288410,327171,18374,143604,19917826,20698943,152520,7775,7013,16591,24615,140,20,16731,30,6432,15268,17192,1843,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,16100,77583,103260,43911,20,7604,7223,9016,2925,2945,7824,551,3136,6602,9186,5460,14940,34884,20852,14940,6101,138464,133696,7053,55993,3427021,3597213,58537,3918,3036,8276,7223,30,20,7504,160,3166,2865,8085,832,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,14327,76010,102669,39954,21,5691,7974,9487,2945,2765,7885,551,2955,6211,8285,5470,14940,34884,20852,14940,6572,116103,140158,19175,57075,3531242,3449592,56584,11882,3055,8025,7394,30,30,8275,30,2805,2595,8114,761,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,13195,70229,109391,39353,20,5750,7724,8556,2264,2815,7674,561,3547,8555,8416,5380,14940,34884,20852,14940,4899,121213,128436,6342,60582,3564733,3423254,57236,15378,29314,11912,6552,110,20,7604,260,3006,3046,9387,942,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,19777,83974,99142,39913,20,5790,7013,8976,2835,2746,7785,561,3026,7053,9156,6282,14940,34884,20852,14940,7894,121683,129108,6081,51975,3691777,3791299,56875,3126,14617,7974,7003,30,20,7694,20,2464,2445,7834,661,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,11050,76731,104271,46245,20,13115,7574,9487,2775,2745,8195,571,3576,6662,8676,5690,14940,34884,20852,14940,35395,109752,143554,11611,52336,3762757,3646794,62575,2935,13846,33843,7635,30,20,7514,30,3737,2585,7854,2064,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,13765,64238,103881,38992,20,7815,8535,8936,3596,2796,7644,651,3236,6983,12843,3426,14940,34884,20852,14940,7353,140979,167919,11091,67204,4085621,3566236,65821,11821,3416,41286,8386,40,20,7484,31,3366,3155,8846,511,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,11431,67664,117647,55782,30,5680,7133,8686,3046,2685,7744,541,2945,8766,9197,5129,14940,34884,20852,14940,6882,135358,141650,11601,64469,3992049,3934693,58929,2454,3096,32741,6972,40,30,8516,20,2785,2504,7554,651,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,19917,67945,142312,59780,20,5761,7384,13735,2574,2525,7384,561,3136,6331,8786,5029,14940,34884,20852,14940,11341,129989,146038,6983,82812,3750605,3389952,61143,17572,6181,31819,7193,30,20,7875,40,3106,2995,8776,641,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,26088,152981,198415,67985,20,5631,9398,13144,2836,2675,10569,912,3988,10309,11081,7053,14940,34884,20852,14940,8615,124128,235283,8125,89955,3643298,4424634,66653,9097,7674,10960,10229,31,20,10549,30,3437,3286,10208,842,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,57105,122215,188146,82271,20,9037,10139,13345,3627,3106,11361,942,5150,9237,11390,6793,14940,34884,20852,14940,20798,230223,228169,9026,75729,5319088,5583354,79196,3857,3447,11211,9508,50,30,9999,120,3637,11241,14827,1693,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,22942,216148,233389,99784,30,16591,11251,15659,4158,4107,11291,842,6582,13655,14798,10109,21468,48884,29959,21468,10159,406347,413721,11340,121824,7874086,7750598,104542,6341,6803,15208,11972,30,20,10319,341,4398,8596,14085,1472,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,87391,188297,167638,64668,20,9868,10429,13174,4107,4137,10400,881,4538,15879,12112,10329,21468,48884,29959,21468,12683,181514,228560,29464,103540,8117162,7373415,140949,16019,8545,12173,11191,40,30,10700,40,4809,5250,11170,1543,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,20628,155246,178267,58457,20,7815,11601,10980,3697,3626,9388,861,6722,13625,12553,10559,21468,48884,29959,21468,8235,182275,184149,16791,90637,7064337,6908911,86449,24465,40525,16009,9988,30,20,9798,591,4669,4388,13875,2254,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,32200,176134,188146,67354,20,9368,12092,14377,4488,4027,11611,892,5019,10059,17292,10258,21468,48884,29959,21468,17222,223140,207552,20277,90637,8009234,8150253,95165,4698,22060,13134,13905,50,30,12402,40,3526,4048,12654,1714,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,16461,164502,174501,63547,20,12123,10109,16109,4027,3877,9868,822,4779,10429,11811,7855,21468,48884,29959,21468,60842,153893,194528,14126,74617,6881200,8318162,96007,4729,20979,42498,9798,30,20,11281,40,4698,4248,10590,2454,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,19195,150547,163511,94564,20,14406,9748,11671,3947,3827,12292,822,5751,10269,11421,6622,21468,48884,29959,21468,9007,184910,201100,11241,88823,6990021,7150025,88553,16531,4027,45444,10560,31,20,10780,20,4598,4268,10599,702,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,17081,154664,180742,73505,50,8456,10159,12093,3707,3517,10419,891,4348,9287,12082,6613,21468,48884,29959,21468,9818,164232,194007,16411,89505,7133514,7414982,86198,4358,5420,45363,10930,20,20,10629,30,4048,3847,10639,912,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,20829,140588,187594,67314,20,7714,9427,11792,3306,3727,9698,752,4018,8646,11010,6803,21468,48884,29959,21468,15238,156608,188707,9537,90948,6901948,6894024,83774,20167,8065,43069,10329,30,20,9497,40,5130,4067,13064,1242,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,24926,181955,189108,59139,20,7644,9408,13475,3756,3466,13675,791,4168,11391,11281,6703,21468,48884,29959,21468,7974,191492,249969,8757,84064,7177776,6931193,84375,10139,7284,10539,12493,30,20,10119,40,4098,3897,10108,721,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,59900,146489,172798,60502,20,10289,9647,14807,4379,3847,10189,782,5010,8526,11701,6432,21468,48884,29959,21468,20798,173589,198555,10038,87641,6722458,7319366,83633,4749,4428,11071,12813,30,20,10760,31,3427,10389,10249,801,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,24054,128135,187605,76952,20,15178,11842,14497,4789,4809,12232,952,4789,11091,14406,8486,26348,55952,34989,26348,11200,333613,225074,11020,128947,7857745,8786744,132904,5841,5230,12423,10840,30,20,11571,241,5140,4638,13615,861,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,24324,139776,176524,101516,20,9868,11521,14227,5299,4699,11891,912,4559,10599,12583,8947,26348,55952,34989,26348,11822,185361,236164,27982,108749,8197149,8589671,135599,16881,5490,14176,11180,41,20,11491,40,4829,4207,11731,1543,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,21530,125701,199607,82642,30,10099,12093,14266,3998,4488,11742,941,5450,14206,13114,8226,26348,55952,34989,26348,9798,205568,221407,11090,128907,7943573,8583820,134287,21870,48700,18754,10369,30,20,11801,250,4809,6182,12743,1412,
