Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF1 Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSF1 InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSF1 Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF1 Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSF1 Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSF1 Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSF1 Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSF1 Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSF1 Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSF1 Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,74486,125341,693485,873225,220105,18224,19055,20658,47858,50814,16911,2985,16881,39312,3035,18484,23704,23543,42328,29764,35708,35732,77712,50623,35708,38992,3462773,677766,831047,42108,299019,19120616,22328812,39754252,374117,85898,19336,31798,42538,40734,70,50,50,37939,60,17732,17983,15939,39934,3095,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,77042,118057,645216,867154,354402,17913,18404,24595,39513,50633,17051,2996,16901,39052,3136,18023,24435,22542,42238,31588,35708,35732,77712,50623,35708,31748,3133278,623496,712139,46876,353229,19564692,22403719,39859876,368347,18865,40535,18023,64158,39923,70,50,50,38871,60,17392,17723,16871,39532,2565,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,81239,117205,621422,849351,280295,17903,18614,20258,38922,50623,17092,2946,16901,39532,2995,18203,24214,22170,42238,32710,35708,35732,77712,50623,35708,32429,3230066,623235,717729,40986,314157,19119824,22295400,39188703,363107,18454,17773,19576,64308,39753,80,50,50,38010,71,17232,19877,17562,39623,2445,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,76571,116104,633584,861623,223941,18033,18755,20788,38350,51675,17171,2956,16911,38851,3006,19315,23854,22251,49501,32149,35708,35732,77712,50623,35708,35585,3183941,630879,716477,44712,348470,19269960,22130666,39968976,362646,19265,17683,17642,40875,39943,80,50,50,37459,50,17422,17713,16079,40144,2846,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,97539,117035,672746,889164,236234,17883,18404,21610,39663,51224,16790,2965,16841,38641,3006,17983,24595,22542,42328,29164,35708,35732,77712,50623,35708,38000,3269477,641699,769394,43751,323365,18905291,22462698,40486377,367094,18023,18313,42528,39884,40705,71,50,50,39282,210,21509,17091,16931,38981,2665,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,31538,51936,321962,460506,95065,8926,8335,10098,19956,21630,8306,1553,8365,21890,1653,8967,9768,11842,23833,14316,14940,14964,32908,20852,14940,19676,674409,375119,389827,21389,148944,4101246,4823313,8602679,166937,43610,9338,9117,66132,21439,90,60,50,20457,81,9017,9056,8044,19315,1472,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,79476,42017,250350,340756,152180,9007,7654,8316,17743,26248,7063,1552,6612,18203,1353,7624,12954,9477,19065,13415,14940,14964,32908,20852,14940,11972,712199,297596,305421,28993,128406,3524366,4518533,7290026,138575,6943,17192,6872,29124,17332,80,61,50,17362,50,7554,7193,7243,17833,1333,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,34163,42047,254868,408030,121914,7334,7664,8115,17532,21600,6913,1302,6572,18203,1323,7604,9768,9578,19316,12744,14940,14964,32908,20852,14940,10028,677905,308807,308197,18914,123396,3430714,4367997,6926248,154113,7654,7203,8526,29034,16621,80,60,50,17251,50,7624,7404,7794,18223,1162,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,45373,44111,257473,399674,98581,7884,7775,8245,17352,21960,6903,1293,6642,21780,1343,8375,9638,10068,19746,12273,14940,14964,32908,20852,14940,13525,739519,362987,310441,87140,156558,3399476,4020167,7472061,138835,6272,8165,7204,18424,17272,130,50,50,17632,50,9938,7294,6391,23673,1443,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,38331,40644,257604,343992,108269,7494,7384,8095,17683,22060,6913,1303,6883,18154,1353,7845,9698,9577,19737,12253,14940,14964,32908,20852,14940,14928,667777,263905,312765,81439,126372,3274488,4100945,7058561,134738,7564,7724,18383,17522,17362,80,50,50,18364,70,7574,7594,6752,18064,1182,
