Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSC Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSC InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSC Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSC Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSC Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSC Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSC Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSC Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSC Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSC Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
1,1138,1138,2596,0.002648,0.002005,18575,45916,246643,304882,81713,6171,6252,7104,14247,19377,6092,1122,6151,14668,1142,6903,8756,9908,15500,11221,35708,35732,77712,50623,35708,13766,1204319,232486,271559,14888,4947890,7679805,10278268,15623955,6464655,31649,15489,7554,15439,15249,521,6282,5962,14627,1032,6261,6822,5841,14257,892
1,1138,1138,2596,0.002648,0.002005,22893,46978,229600,307357,133500,6072,5911,8035,14397,19467,6122,1112,5971,14467,1122,6883,9098,8435,15379,11542,35708,35732,77712,50623,35708,14527,1225619,231935,273353,15449,4981955,7679033,9185299,15135048,7209342,7003,15299,6622,23604,14708,440,6542,6422,14437,1172,6322,6442,5991,14608,962
1,1138,1138,2596,0.002648,0.002005,25117,45054,237476,305392,103824,5901,6172,7063,14297,19446,6062,1102,6111,14487,1122,6863,8937,8326,15409,12122,35708,35732,77712,50623,35708,16821,1205611,228188,267562,14627,4971675,7922861,10640618,15455199,6419871,6813,6442,7854,23715,14387,541,6222,5801,14437,842,6092,6752,6352,14237,882
1,1138,1138,2596,0.002648,0.002005,20679,44944,233428,309320,87314,5921,6151,7194,14327,19407,6042,1112,5971,14126,1112,7003,9107,8365,15560,12093,35708,35732,77712,50623,35708,13396,1200962,232466,261971,16210,5033361,8230678,9196178,17449048,6552710,5901,6513,6662,14327,14808,1112,6111,6683,14648,851,6082,6673,5841,14657,1362
1,1138,1138,2596,0.002648,0.002005,31058,44584,237015,312306,85671,5941,5620,8857,14356,19426,6191,1102,6162,14567,1112,6802,9077,8346,15700,11852,35708,35732,77712,50623,35708,13686,1219327,235262,270157,15769,4980181,7769262,9094348,15664931,6427616,6723,6602,16671,14808,14677,821,6392,5520,14727,911,6302,6061,5931,14908,862
2,494,494,1080,0.007967,0.004426,7203,15980,94538,127238,35076,2525,2545,3075,6553,8285,2515,491,2615,6682,511,2946,3647,4348,7133,5109,14940,14964,32908,20852,14940,6001,250921,107942,117039,5740,873338,1351505,1630989,2608743,916319,13976,6933,2715,6943,6402,210,2735,2525,6883,661,2645,2876,5821,6402,420
2,494,494,1080,0.007967,0.004426,26851,15529,92764,126367,56135,2414,2164,2916,6492,8195,2545,491,2514,6793,501,2775,3627,3447,6943,4498,14940,14964,32908,20852,14940,5781,239820,96150,112972,6211,856276,1378827,1563172,2608783,977483,2475,6973,2715,10831,6221,201,2545,2384,6503,371,2495,2805,2455,6602,401
2,494,494,1080,0.007967,0.004426,8687,15279,94107,127038,44673,2174,2435,3036,6512,8186,2545,501,2375,6632,491,2865,3677,3376,7203,4608,14940,14964,32908,20852,14940,5640,246973,96771,114304,6252,854533,1366533,1644615,2660641,938871,2855,2675,2815,11972,5751,211,2765,2415,6822,371,2525,2254,2245,6483,401
2,494,494,1080,0.007967,0.004426,7224,15729,96712,131517,36438,2464,2585,2986,6482,8155,2545,480,2405,6612,501,2876,3587,3356,7083,4599,14940,14964,32908,20852,14940,5611,260589,97192,115366,31219,856386,1437977,1542483,2721064,940314,2023,2805,2735,6672,6261,210,1553,2485,6662,411,2484,2645,2174,6643,410
2,494,494,1080,0.007967,0.004426,11501,15199,95870,127710,36057,2344,1803,2986,6683,7955,2605,481,2495,6623,491,2856,3617,3466,7113,4498,14940,14964,32908,20852,14940,5550,248385,101079,116359,29545,843111,1332018,1544748,2603303,918873,2575,2795,7184,6852,6292,221,2544,2013,6813,381,2544,2745,2354,6412,421
