ID,rows,cols,nonzeros,sparsity,redundancy,size,constructor_time,scalar_time,spmv_time,spmm_time,sum_time,transpose_time,iterator_time
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 461968111709411303774667484849685185864125731617661656804874619055773129749649419596403737515212224887755670276494495896118720888356809002974070268332873411023559335081764993580630097955212565967026006261874058355539295280991330386509091144540188838450418389684191764200706296250368.000000, 4294967295, 0, 0, 109838367, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 101514532, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 164940355, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 157348920, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 154750469, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 152097467, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 149763183, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 150359350, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 153857886, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.001001, 160320024.000000, 0.000000, 4294967295, 0, 0, 167509894, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.020901, 157931988.000000, -nan, 4294967295, 0, 0, 171089490, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.020901, 157931988.000000, -nan, 4294967295, 0, 0, 227931852, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.020901, 157931988.000000, -nan, 4294967295, 0, 0, 192785067, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.020901, 157931988.000000, -nan, 4294967295, 0, 0, 175475228, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.020901, 157931988.000000, -nan, 4294967295, 0, 0, 161617583, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.020901, 157931988.000000, -nan, 4294967295, 0, 0, 139405416, 0, 0, 0
