Matrix Number, Sparsity, Redundancy, CSF1 Size, CSF2 Size, CSF3 Size
0, 1, 1, 80428, 44024, 12224
1, 1, 2, 80428, 44824, 12824
2, 1, 3, 80428, 45624, 13424
3, 1, 4, 80428, 46424, 14024
4, 1, 5, 80428, 47224, 14624
5, 1, 6, 80428, 48024, 15224
6, 1, 7, 80428, 48824, 15824
7, 1, 8, 80428, 49624, 16424
8, 1, 9, 80428, 50424, 17024
9, 1, 10, 80428, 51224, 17624
10, 1, 11, 80428, 52024, 18224
11, 1, 12, 80428, 52824, 18824
12, 1, 13, 80428, 53624, 19424
13, 1, 14, 80428, 54416, 20018
14, 1, 15, 80428, 55216, 20618
15, 1, 16, 80428, 56024, 21224
16, 1, 17, 80428, 56800, 21806
17, 1, 18, 80428, 57592, 22400
18, 1, 19, 80428, 58352, 22970
19, 1, 20, 80428, 59096, 23528
20, 1, 21, 80428, 59920, 24146
21, 1, 22, 80428, 60688, 24722
22, 1, 23, 80428, 61344, 25214
23, 1, 24, 80428, 62120, 25796
24, 1, 25, 80428, 62888, 26372
25, 1, 26, 80428, 63592, 26900
26, 1, 27, 80428, 64336, 27458
27, 1, 28, 80428, 65048, 27992
28, 1, 29, 80428, 65528, 28352
29, 1, 30, 80428, 66432, 29030
30, 1, 31, 80428, 67152, 29570
31, 1, 32, 80428, 67848, 30092
32, 1, 33, 80428, 68424, 30524
33, 1, 34, 80428, 69192, 31100
34, 1, 35, 80428, 69696, 31478
35, 1, 36, 80428, 70272, 31910
36, 1, 37, 80428, 70792, 32300
37, 1, 38, 80428, 71616, 32918
38, 1, 39, 80428, 72072, 33260
39, 1, 40, 80428, 72744, 33764
40, 1, 41, 80428, 73096, 34028
41, 1, 42, 80428, 73728, 34502
42, 1, 43, 80428, 74560, 35126
43, 1, 44, 80428, 74848, 35342
44, 1, 45, 80428, 75240, 35636
45, 1, 46, 80428, 76136, 36308
46, 1, 47, 80428, 76712, 36740
47, 1, 48, 80428, 76832, 36830
48, 1, 49, 80428, 77088, 37022
49, 1, 50, 80428, 78024, 37724
50, 1, 51, 80428, 78288, 37922
51, 1, 52, 80428, 78968, 38432
52, 1, 53, 80428, 79312, 38690
53, 1, 54, 80428, 79544, 38864
54, 1, 55, 80428, 80080, 39266
55, 1, 56, 80428, 80744, 39764
56, 1, 57, 80428, 81032, 39980
57, 1, 58, 80428, 81664, 40454
58, 1, 59, 80428, 81920, 40646
59, 1, 60, 80428, 82568, 41132
60, 1, 61, 80428, 82752, 41270
61, 1, 62, 80428, 83272, 41660
62, 1, 63, 80428, 83232, 41630
63, 1, 64, 80428, 83608, 41912
64, 1, 65, 80428, 84352, 42470
65, 1, 66, 80428, 84640, 42686
66, 1, 67, 80428, 85096, 43028
67, 1, 68, 80428, 85000, 42956
68, 1, 69, 80428, 85872, 43610
69, 1, 70, 80428, 86128, 43802
70, 1, 71, 80428, 86280, 43916
71, 1, 72, 80428, 86552, 44120
72, 1, 73, 80428, 87088, 44522
73, 1, 74, 80428, 87096, 44528
74, 1, 75, 80428, 88112, 45290
75, 1, 76, 80428, 88104, 45284
76, 1, 77, 80428, 87904, 45134
77, 1, 78, 80428, 88816, 45818
78, 1, 79, 80428, 89128, 46052
79, 1, 80, 80428, 89416, 46268
80, 1, 81, 80428, 89120, 46046
81, 1, 82, 80428, 90048, 46742
82, 1, 83, 80428, 89792, 46550
83, 1, 84, 80428, 90152, 46820
84, 1, 85, 80428, 90480, 47066
85, 1, 86, 80428, 90280, 46916
86, 1, 87, 80428, 90648, 47192
87, 1, 88, 80428, 91136, 47558
88, 1, 89, 80428, 91976, 48188
89, 1, 90, 80428, 91624, 47924
90, 1, 91, 80428, 91440, 47786
91, 1, 92, 80428, 92064, 48254
92, 1, 93, 80428, 92592, 48650
93, 1, 94, 80428, 92208, 48362
94, 1, 95, 80428, 93024, 48974
95, 1, 96, 80428, 93184, 49094
96, 1, 97, 80428, 93480, 49316
97, 1, 98, 80428, 93336, 49208
98, 1, 99, 80428, 93952, 49670
99, 1, 100, 80428, 93904, 49634
100, 2, 1, 40436, 24028, 7225
101, 2, 2, 40460, 24840, 7828
102, 2, 3, 40436, 25628, 8425
103, 2, 4, 40452, 26436, 9027
104, 2, 5, 40356, 27188, 9615
105, 2, 6, 40388, 28004, 10219
106, 2, 7, 40356, 28780, 10809
107, 2, 8, 40452, 29620, 11415
108, 2, 9, 40380, 30368, 11994
109, 2, 10, 40492, 31200, 12590
110, 2, 11, 40380, 31912, 13152
111, 2, 12, 40484, 32724, 13735
112, 2, 13, 40348, 33320, 14216
113, 2, 14, 40468, 34196, 14843
114, 2, 15, 40348, 34760, 15296
115, 2, 16, 40460, 35520, 15838
116, 2, 17, 40348, 36040, 16256
117, 2, 18, 40460, 36736, 16750
118, 2, 19, 40348, 37320, 17216
119, 2, 20, 40468, 37956, 17663
120, 2, 21, 40412, 38472, 18064
121, 2, 22, 40548, 39084, 18489
122, 2, 23, 40412, 39424, 18778
123, 2, 24, 40508, 39984, 19174
124, 2, 25, 40388, 40452, 19555
125, 2, 26, 40460, 41120, 20038
126, 2, 27, 40388, 41532, 20365
127, 2, 28, 40452, 41980, 20685
128, 2, 29, 40428, 42432, 21030
129, 2, 30, 40444, 42928, 21398
130, 2, 31, 40428, 43104, 21534
131, 2, 32, 40452, 43388, 21741
132, 2, 33, 40436, 43916, 22141
133, 2, 34, 40444, 44280, 22412
134, 2, 35, 40436, 44708, 22735
135, 2, 36, 40452, 45172, 23079
136, 2, 37, 40420, 45132, 23057
137, 2, 38, 40356, 45140, 23079
138, 2, 39, 40420, 45628, 23429
139, 2, 40, 40348, 45920, 23666
140, 2, 41, 40460, 45992, 23692
141, 2, 42, 40372, 46524, 24113
142, 2, 43, 40460, 46880, 24358
143, 2, 44, 40380, 46960, 24438
144, 2, 45, 40444, 47344, 24710
145, 2, 46, 40388, 47748, 25027
146, 2, 47, 40444, 47936, 25154
147, 2, 48, 40380, 47976, 25200
148, 2, 49, 40436, 48108, 25285
149, 2, 50, 40380, 48208, 25374
150, 2, 51, 40436, 48668, 25705
151, 2, 52, 40372, 48708, 25751
152, 2, 53, 40460, 49040, 25978
153, 2, 54, 40452, 49084, 26013
154, 2, 55, 40460, 49368, 26224
155, 2, 56, 40468, 48988, 25937
156, 2, 57, 40436, 49100, 26029
157, 2, 58, 40460, 49528, 26344
158, 2, 59, 40436, 50004, 26707
159, 2, 60, 40452, 50244, 26883
160, 2, 61, 40444, 50408, 27008
161, 2, 62, 40452, 50756, 27267
162, 2, 63, 40444, 51088, 27518
163, 2, 64, 40452, 51372, 27729
164, 2, 65, 40436, 51228, 27625
165, 2, 66, 40436, 51260, 27649
166, 2, 67, 40436, 51396, 27751
167, 2, 68, 40452, 51244, 27633
168, 2, 69, 40428, 51280, 27666
169, 2, 70, 40420, 51444, 27791
170, 2, 71, 40428, 51320, 27696
171, 2, 72, 40388, 51260, 27661
172, 2, 73, 40428, 51400, 27756
173, 2, 74, 40412, 51616, 27922
174, 2, 75, 40428, 52184, 28344
175, 2, 76, 40420, 52148, 28319
176, 2, 77, 40404, 52628, 28683
177, 2, 78, 40412, 52880, 28870
178, 2, 79, 40404, 53084, 29025
179, 2, 80, 40412, 52816, 28822
180, 2, 81, 40412, 53200, 29110
181, 2, 82, 40420, 53300, 29183
182, 2, 83, 40412, 53592, 29404
183, 2, 84, 40420, 53356, 29225
184, 2, 85, 40412, 53200, 29110
185, 2, 86, 40460, 53240, 29128
186, 2, 87, 40412, 53408, 29266
187, 2, 88, 40492, 53384, 29228
188, 2, 89, 40412, 53288, 29176
189, 2, 90, 40468, 53676, 29453
190, 2, 91, 40412, 53752, 29524
