Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF1 Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSF1 InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF1 Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF1 Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF1 Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSF1 Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF1 Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSF1 Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSF1 Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSF1 Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,62060,67540,389020,615820,372040,8100,10840,23540,18860,32480,13880,1260,9400,21600,1780,26280,12840,16280,27380,18800,35708,35732,77712,50623,35708,20140,108160,610040,642040,28680,11286180,13722340,16301320,28152860,12516080,17900,15380,20220,25860,25360,1620,9320,15860,25800,2880,9680,12960,13160,24820,2440,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,21280,24700,134000,213980,135180,3540,6980,5580,11680,11500,3320,660,3200,8440,780,4080,5420,7060,14240,8460,14940,14964,32908,20852,14940,9920,63300,194900,216080,21900,1954540,2793620,3268580,4514260,2255260,7660,7060,8620,11360,16060,780,4040,8540,10040,1520,3680,3380,4260,8860,1480,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,37420,39880,357460,328740,133500,4620,5780,7900,12420,19500,4380,720,4680,11540,860,5420,7800,12860,18600,11960,21468,21492,46236,29959,21468,19820,47440,259660,305440,33620,3650060,5155380,5391540,9002200,3852260,9760,9320,11420,24900,13900,1220,5500,9380,13980,1900,4980,5060,5960,13580,1940,
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,38760,45640,329580,352200,126560,5140,10480,8180,11960,25520,5220,840,5040,17900,1160,5860,8360,9760,15200,16340,26348,26372,53212,34989,26348,15220,62260,402020,297480,46080,4173440,4898440,6450700,12785440,5282060,9260,9140,12800,19500,14700,1320,6140,9640,14520,1940,6020,5620,8720,16320,1620,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,18280,32140,108020,126860,111540,1780,2460,3640,6140,18280,1580,760,300,6700,1080,2620,3860,3900,6860,16520,19392,19416,13996,6409,19392,7380,31160,141600,139440,9340,932360,1295740,1254840,2260000,730440,3460,4000,5240,7500,9060,900,1940,1540,6600,1520,2300,2400,1560,6760,1640,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,12820,25020,215280,324620,82340,1520,1940,3580,10360,9140,5560,760,1280,6840,640,1920,3240,4220,7780,11440,15908,15932,22404,14296,12968,8000,46780,182320,233440,16920,187680,348520,331560,933780,212500,3020,3380,5300,8200,4220,880,1940,2200,19960,920,1940,2040,2160,8740,1200,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,7440,9840,41220,35420,36320,860,1120,4720,2400,4340,880,300,180,2060,420,1620,6540,3400,7240,7960,5600,5624,5516,2672,5600,3300,11000,76100,86180,6140,261760,293980,352640,701760,181040,1040,1160,1040,2320,2500,280,1020,780,2420,460,940,1020,480,2280,400,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,14440,28780,122180,123020,79400,2520,3020,5400,6240,11640,2420,660,500,11020,820,3260,4620,4960,7760,6480,16172,16196,17872,9026,16172,7380,32840,131640,142520,9740,754540,1163840,1682320,2394180,710120,4080,4540,5000,12120,7080,920,3100,2260,7140,1340,2840,3020,1880,7780,1440,
9.000000, 331.000000, 104.000000, 662.000000, 0.830654, 0.019231,10020,15220,51040,62800,40000,940,1260,2140,2640,4820,960,320,220,3160,420,1680,3480,6360,10460,9360,8364,8388,7248,3527,8364,4080,15380,138360,86180,6700,342980,518640,669160,1131880,372340,1000,1480,1300,7320,3600,280,1120,1160,3060,780,1260,1140,800,3000,880,
10.000000, 608.000000, 188.000000, 1216.000000, 0.831237, 0.010638,41200,27960,116400,125580,149220,2160,12160,4460,5840,11780,1940,920,380,6800,880,3300,4320,4160,7620,18600,15348,15372,13160,6856,15348,7060,43600,200160,188280,13600,1094140,1628820,2533820,4205540,1713760,3740,4140,3780,6980,5920,900,2520,2500,9560,1840,2540,2600,1580,6080,1580,
