Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSC Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSC InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSC Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSC Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSC Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSC Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSC Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSC Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSC Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSC Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
1,1138,1138,2596,0.002648,0.002005,23664,45495,236832,307851,98404,6001,6021,7650,14324,19424,6101,1110,6073,14463,1122,6890,8995,8676,15509,11766,35708,35732,77712,50623,35708,14439,1211167,232067,268920,15388,4983012,7856327,9678942,15865636,6614838,11617,10069,9072,18378,14765,687,6309,6077,14575,961,6211,6550,5991,14533,992
2,494,494,1080,0.007967,0.004426,12293,15543,94798,127974,41675,2384,2306,2999,6544,8155,2551,488,2480,6668,499,2863,3631,3598,7095,4662,14940,14964,32908,20852,14940,5716,249337,99826,115208,15793,856728,1373372,1585201,2640506,938372,4780,4436,3632,8654,6185,210,2428,2364,6736,439,2538,2665,3009,6508,410
3,662,662,1568,0.001538,0.003578,18594,25906,140609,191020,60318,3358,3280,3947,8720,11016,3418,711,3466,8790,721,3925,5037,4927,9484,6131,21468,21492,46236,29959,21468,7788,461619,143406,163544,22440,1658699,2607426,3022968,5174589,1918378,7059,5885,5073,11351,8740,425,3492,3242,8930,595,3410,3498,3464,8684,583
4,685,685,1967,0.004685,0.004192,21837,29715,175491,232922,72951,3919,3853,4594,10451,13696,3991,857,3975,10468,865,4472,5983,5598,11038,7197,26348,26372,53212,34989,26348,9117,640623,170363,193032,26413,1874167,2893052,3315194,6301473,2084788,7618,6626,5712,13048,9652,380,4129,3847,10556,663,3987,4328,3843,10387,693
5,313,176,1557,1,0.028264,8007,19927,49835,55071,51128,1098,1312,1334,4019,5819,1059,651,132,3995,677,1316,1789,1769,4723,7602,19392,19416,13996,6409,19392,3262,184433,69813,70826,4131,406787,516090,554416,1526006,273735,1835,2230,701,4739,2607,290,1150,256,4140,547,1108,1170,264,4161,549
6,130,130,1282,0.21569,0.075858,8664,17018,126755,185089,44289,911,919,1787,4702,4065,721,545,703,4793,450,1018,1424,1941,5169,5432,15908,15932,22404,14296,12968,2602,119195,81555,97436,9740,94587,146472,171796,578409,80907,1829,1983,1561,5420,2039,303,965,927,4793,484,955,944,1010,4805,378
7,219,85,438,1,0.023529,3350,5668,18479,20314,14641,460,432,671,1332,2112,505,202,74,1400,222,785,1358,1671,4512,2853,5600,5624,5516,2672,5600,1496,32545,31012,32097,2593,108599,131146,161437,342835,82847,521,575,214,1450,1178,118,517,162,1404,210,494,483,200,1403,190
8,292,292,1250,1,0.01466,7973,19514,61469,64833,44216,1727,1665,2296,4534,6931,1821,557,210,4580,571,2068,2829,2606,5168,3717,16172,16196,17872,9026,16172,4342,206681,68204,72828,5039,371236,575323,615252,1381693,323194,3211,3019,1166,5901,4440,286,1707,443,4721,565,1819,1751,430,4644,475
9,331,104,662,1,0.019231,4803,9395,26810,29605,22478,643,645,932,2011,2885,695,304,88,2076,308,1059,1869,2230,6854,3650,8364,8388,7248,3527,8364,2062,56991,48234,49819,3606,148017,198614,248648,717750,136702,785,790,240,2136,1697,156,707,170,2087,284,663,757,168,2070,280
10,608,188,1216,1,0.010638,6865,18120,49490,54794,44641,1184,1164,1605,3743,5301,1244,559,142,3971,559,1515,2075,2007,4530,5905,15348,15372,13160,6856,15348,3562,156796,85374,89477,6338,609908,786841,911209,2509773,592481,1386,2182,761,4678,2997,234,1226,288,3861,422,1260,1388,274,3775,450
